2019-06-22 15:58:37,Donald J. Trump,1142461901445718016,"RT @EricTrump: This isn’t a campaign, this is a movement! Thank you Orlando - we love you! #Florida #KeepAmericaGreat 🇺🇸🇺🇸🇺🇸 https://t.co/M…"
2019-06-22 15:58:15,Donald J. Trump,1142461806935445504,Looking good. We MUST WIN to KEEP AMERICA GREAT! https://t.co/ADULIQ0tO1
2019-06-22 15:56:52,Donald J. Trump,1142461457495470082,RT @EricTrump: Behind the scenes in #Orlando - what an amazing night! ⁦@DonaldJTrumpJr⁩ ⁦@IvankaTrump⁩ https://t.co/DRqicdEFFY
2019-06-22 14:13:16,Donald J. Trump,1142435387496902656,Stock Market is on track to have the best June in over 50 years! Thank you Mr. President! @WSJ
2019-06-22 12:32:25,Donald J. Trump,1142410006513500161,"When people come into our Country illegally, they will be DEPORTED!"
2019-06-22 12:30:27,Donald J. Trump,1142409512240013313,"The people that Ice will apprehend have already been ordered to be deported. This means that they have run from the law and run from the courts. These are people that are supposed to go back to their home country. They broke the law by coming into the country, &amp; now by staying."
2019-06-22 02:52:20,Donald J. Trump,1142264023825735681,"RT @Jim_Jordan: There is a crisis at our border. Time for Congress to wake up, secure the border, and #DoWhatWeSaid. https://t.co/GCCJ9sYDkR"
2019-06-22 02:51:59,Donald J. Trump,1142263935904747520,"RT @RepMarkMeadows: The irony of Washington Democrats all but ignoring the dire situation at the border: they're calling it a ""manufactured…"
2019-06-22 02:49:45,Donald J. Trump,1142263375327584258,"RT @GOP: Under @realDonaldTrump’s leadership, Florida is THRIVING!

Read more from Pam Bondi— former AG of Florida⬇️
https://t.co/pLNpaO4…"
2019-06-21 19:50:23,Donald J. Trump,1142157838153895941,https://t.co/JDS4zUXXJG
2019-06-21 13:03:18,Donald J. Trump,1142055392488374272,"....proportionate to shooting down an unmanned drone. I am in no hurry, our Military is rebuilt, new,  and ready to go, by far the best in the world. Sanctions are biting &amp; more added last night. Iran can NEVER have Nuclear Weapons, not against the USA, and not against the WORLD!"
2019-06-21 13:03:17,Donald J. Trump,1142055388965212161,"....On Monday they shot down an unmanned drone flying in International Waters. We were cocked &amp; loaded to retaliate last night on 3 different sights when I asked, how many will die. 150 people, sir, was the answer from a General. 10 minutes before the strike I stopped it, not...."
2019-06-21 13:03:16,Donald J. Trump,1142055383193804801,"....Death to America. I terminated deal, which was not even ratified by Congress, and imposed strong sanctions. They are a much weakened nation today than at the beginning of my Presidency, when they were causing major problems throughout the Middle East. Now they are Bust!...."
2019-06-21 13:03:14,Donald J. Trump,1142055375186907136,"President Obama made a desperate and terrible deal with Iran - Gave them 150 Billion Dollars plus I.8 Billion Dollars in CASH! Iran was in big trouble and he bailed them out. Gave them a free path to Nuclear Weapons, and SOON. Instead of saying thank you, Iran yelled....."
2019-06-21 12:19:50,Donald J. Trump,1142044452258766849,"....”This Russia Collusion Hoax was perpetrated in part by people inside the government, and in part by a compliant (Fake News) media.” Mollie Hemingway.  @TuckerCarlson @foxandfriends  The facts are starting to pour out. Stay tuned!"
2019-06-21 12:19:49,Donald J. Trump,1142044450413301760,"Just revealed that the Failing and Desperate New York Times was feeding false stories about me, &amp; those associated with me, to the FBI. This shows the kind of unprecedented hatred I have been putting up with for years with this Crooked newspaper. Is what they have done legal?..."
2019-06-20 22:22:36,Donald J. Trump,1141833755033767943,S&amp;P closes at Record High! https://t.co/C5nOXIQ7EJ
2019-06-20 17:49:52,Donald J. Trump,1141765119929700353,It was my great honor to host Canadian Prime Minister @JustinTrudeau at the @WhiteHouse today!🇺🇸🇨🇦 https://t.co/orlejZ9FFs
2019-06-20 14:15:04,Donald J. Trump,1141711064305983488,Iran made a very big mistake!
2019-06-20 14:14:13,Donald J. Trump,1141710851617034240,“The President has a really good story to tell. We have unemployment lower than we’ve seen in decades. We have people who stopped looking for work coming back into the labor force. We are in a record growth period.” Michael Steel @MSNBC (do you believe?)
2019-06-20 13:58:53,Donald J. Trump,1141706991464849408,S&amp;P opens at Record High!
2019-06-20 00:12:31,Donald J. Trump,1141499029727121408,"Since Election Day 2016, Stocks up almost 50%, Stocks gained 9.2 Trillion Dollars in value, and more than 5,000,000 new jobs added to the Economy. @LouDobbs If our opponent had won, there would have been a market crash, plain and simple! @TuckerCarlson @seanhannity @IngrahamAngle"
2019-06-19 23:01:59,Donald J. Trump,1141481280653209600,Congratulations to President Lopez Obrador — Mexico voted to ratify the USMCA today by a huge margin. Time for Congress to do the same here!
2019-06-19 20:39:28,Donald J. Trump,1141445414824136704,"Just returning from Orlando and Doral (Miami), Florida, and heading to the Oval Office, where I will present the great Economist, Dr. Arthur Laffer, with the Presidential Medal of Freedom."
2019-06-19 20:29:24,Donald J. Trump,1141442879518322689,I will be interviewed LIVE tonight by @seanhannity on @FoxNews  9 P.M. Enjoy!
2019-06-19 19:48:04,Donald J. Trump,1141432478491717632,"....asking Hillary Clinton why she deleted and acid washed her Emails AFTER getting a subpoena from Congress? Anybody else would be in jail for that, yet the Dems refuse to even bring it up. Rigged House Committee"
2019-06-19 19:48:02,Donald J. Trump,1141432472602927108,"So sad that the Democrats are putting wonderful Hope Hicks through hell, for 3 years now, after total exoneration by Robert Mueller &amp; the Mueller Report. They were unhappy with result so they want a Do Over. Very unfair &amp; costly to her. Will it ever end? Why aren’t they......."
2019-06-19 15:09:18,Donald J. Trump,1141362325619916801,"If I didn’t have the Phony Witch Hunt going on for 3 years, and if the Fake News Media and their partner in Crime, the Democrats, would have played it straight, I would be way up in the Polls right now - with our Economy, winning by 20 points. But I’m winning anyway!"
2019-06-19 14:20:04,Donald J. Trump,1141349936044417024,DEMOCRAT CONGRESSIONAL HEARINGS ARE #RIGGED!
2019-06-19 14:18:12,Donald J. Trump,1141349463904141320,"....33,000 Emails that Hillary and her lawyer deleted and acid washed AFTER GETTING A SUBPOENA FROM CONGRESS? That is real Obstruction that the Dems want no part of because their hearings are RIGGED and a disgrace to our Country!"
2019-06-19 14:18:11,Donald J. Trump,1141349462478135296,"The Dems are very unhappy with the Mueller Report, so after almost 3 years, they want a Redo, or Do Over. This is extreme Presidential Harassment. They gave Crooked Hillary’s people complete Immunity, yet now they bring back Hope Hicks. Why aren’t the Dems looking at the....."
2019-06-19 12:54:55,Donald J. Trump,1141328504929300480,THANK YOU! #Trump2020🇺🇸 https://t.co/recnmmYAFN
2019-06-19 02:13:11,Donald J. Trump,1141167008739971072,"Don’t ever forget - this election is about YOU. It is about YOUR family, YOUR future, &amp; the fate of YOUR COUNTRY. We begin our campaign with the best record, the best results, the best agenda, &amp; the only positive VISION for our Country’s future! #Trump2020 https://t.co/Vmu28hKQh6"
2019-06-19 02:04:07,Donald J. Trump,1141164726593998850,"In the ultimate act of moral cowardice, not one Democrat Candidate for president - not a single one - has stood up to defend the incredible men and women of ICE and Border Patrol. They don’t have the character, the virtue, or the spine! #Trump2020 https://t.co/oULNnVtxmW"
2019-06-19 01:58:51,Donald J. Trump,1141163403186245632,On no issue are Democrats more extreme – and more depraved – than when it comes to Border Security. The Democrat Agenda of open borders is morally reprehensible. It is the great betrayal of the American Middle Class and our Country as a whole! #Trump2020 https://t.co/f9RJhpp50J
2019-06-19 01:52:19,Donald J. Trump,1141161757819441152,"Together, we are breaking the most sacred rule in Washington Politics: we are KEEPING our promises to the American People. Because my only special interest is YOU! #Trump2020 https://t.co/bYyK6sOrak"
2019-06-19 01:48:36,Donald J. Trump,1141160822988771328,"THANK YOU ORLANDO, FLORIDA!https://t.co/Va9FhByJi0"
2019-06-18 23:54:28,Donald J. Trump,1141132100273418240,"Join me LIVE tonight in Orlando, Florida at 8:00 P.M. Eastern as we kickoff #Trump2020. Enjoy!"
2019-06-18 20:32:07,Donald J. Trump,1141081177392128002,"Departing for Orlando, Florida with @FLOTUS Melania! https://t.co/EB2ewYArUP"
2019-06-18 16:59:12,Donald J. Trump,1141027595380826118,"....I thank Pat for his outstanding service and will be naming Secretary of the Army, Mark Esper, to be the new Acting Secretary of Defense. I know Mark, and have no doubt he will do a fantastic job!"
